FlightDate,airport,ArrDelay,DepDelay,Cancelled,Diverted,period
2000-01-15,MCO,19.0,0.0,False,False,other
2000-01-16,MCO,2.0,0.0,False,False,other
2000-01-17,MCO,9.0,0.0,False,False,other
2000-01-18,MCO,3.0,0.0,False,False,other
2000-01-19,MCO,45.0,55.0,False,False,other
2000-01-20,MCO,-3.0,0.0,False,False,other
2000-01-21,MCO,-8.0,0.0,False,False,other
2000-01-22,MCO,-13.0,0.0,False,False,other
2000-01-23,MCO,-19.0,4.0,False,False,other
2000-01-24,MCO,9.0,30.0,False,False,other
2000-01-25,MCO,0.0,0.0,False,False,other
2000-01-26,MCO,9.0,10.0,False,False,other
2000-01-27,MCO,-14.0,0.0,False,False,other
2000-01-28,MCO,-12.0,0.0,False,False,other
2000-01-29,MCO,-11.0,0.0,False,False,other
2000-01-30,MCO,-15.0,0.0,False,False,other
2000-01-31,MCO,0.0,15.0,False,False,other
2000-01-01,MCO,10.0,15.0,False,False,other
2000-01-02,MCO,-2.0,0.0,False,False,other
2000-01-03,MCO,-4.0,0.0,False,False,other
2000-01-04,MCO,-5.0,8.0,False,False,other
2000-01-05,MCO,-2.0,0.0,False,False,other
2000-01-06,MCO,45.0,45.0,False,False,other
2000-01-07,MCO,-5.0,8.0,False,False,other
2000-01-08,MCO,-9.0,0.0,False,False,other
2000-01-09,MCO,7.0,8.0,False,False,other
2000-01-10,MCO,5.0,20.0,False,False,other
2000-01-11,MCO,,17.0,False,True,other
2000-01-12,MCO,0.0,0.0,False,False,other
2000-01-13,MCO,20.0,25.0,False,False,other
2000-01-14,MCO,19.0,0.0,False,False,other
2000-01-15,MCO,7.0,0.0,False,False,other
2000-01-16,MCO,0.0,0.0,False,False,other
2000-01-17,MCO,12.0,0.0,False,False,other
2000-01-18,MCO,20.0,22.0,False,False,other
2000-01-19,MCO,0.0,0.0,False,False,other
2000-01-20,MCO,161.0,145.0,False,False,other
2000-01-21,MCO,14.0,11.0,False,False,other
2000-01-22,MCO,-10.0,0.0,False,False,other
2000-01-23,MCO,-20.0,0.0,False,False,other
2000-01-24,MCO,14.0,29.0,False,False,other
2000-01-25,MCO,132.0,127.0,False,False,other
2000-01-26,MCO,21.0,20.0,False,False,other
2000-01-27,MCO,2.0,7.0,False,False,other
2000-01-28,MCO,-7.0,0.0,False,False,other
2000-01-29,MCO,5.0,6.0,False,False,other
2000-01-30,MCO,-6.0,5.0,False,False,other
2000-01-31,MCO,4.0,15.0,False,False,other
2000-01-02,MCO,-13.0,-5.0,False,False,other
2000-01-03,MCO,-5.0,0.0,False,False,other
2000-01-04,MCO,17.0,14.0,False,False,other
2000-01-05,MCO,-4.0,-3.0,False,False,other
